x	J(x)
0.00	1.000000
0.10	0.997502
0.20	0.990025
0.30	0.977626
0.40	0.960398
0.50	0.938470
0.60	0.912005
0.70	0.881201
0.80	0.846287
0.90	0.807524
1.00	0.765198
1.10	0.719622
1.20	0.671133
1.30	0.620086
1.40	0.566855
1.50	0.511828
1.60	0.455402
1.70	0.397985
1.80	0.339986
1.90	0.281819
2.00	0.223891
2.10	0.166607
2.20	0.110362
2.30	0.055540
2.40	0.002508
2.50	-0.048384
2.60	-0.096805
2.70	-0.142449
2.80	-0.185036
2.90	-0.224312
3.00	-0.260052
3.10	-0.292064
3.20	-0.320188
3.30	-0.344296
3.40	-0.364296
3.50	-0.380128
3.60	-0.391769
3.70	-0.399230
3.80	-0.402556
3.90	-0.401826
4.00	-0.397150
4.10	-0.388670
4.20	-0.376557
4.30	-0.361011
4.40	-0.342257
4.50	-0.320543
4.60	-0.296138
4.70	-0.269331
4.80	-0.240425
4.90	-0.209738
5.00	-0.177597
5.10	-0.144335
5.20	-0.110290
5.30	-0.075803
5.40	-0.041210
5.50	-0.006844
5.60	0.026971
5.70	0.059920
5.80	0.091703
5.90	0.122033
6.00	0.150645
6.10	0.177291
6.20	0.201747
6.30	0.223812
6.40	0.243311
6.50	0.260095
6.60	0.274043
6.70	0.285065
6.80	0.293096
6.90	0.298102
7.00	0.300079
7.10	0.299051
7.20	0.295071
7.30	0.288217
7.40	0.278596
7.50	0.266340
7.60	0.251602
7.70	0.234559
7.80	0.215408
7.90	0.194362
8.00	0.171651
8.10	0.147517
8.20	0.122215
8.30	0.096006
8.40	0.069157
8.50	0.041939
8.60	0.014623
8.70	-0.012523
8.80	-0.039234
8.90	-0.065253
9.00	-0.090334
9.10	-0.114239
9.20	-0.136748
9.30	-0.157655
9.40	-0.176772
9.50	-0.193929
9.60	-0.208979
9.70	-0.221795
9.80	-0.232276
9.90	-0.240341
10.00	-0.245936
