x	J(x)
0.00	0.000000
0.10	0.001249
0.20	0.004983
0.30	0.011166
0.40	0.019735
0.50	0.030604
0.60	0.043665
0.70	0.058787
0.80	0.075818
0.90	0.094586
1.00	0.114903
1.10	0.136564
1.20	0.159349
1.30	0.183027
1.40	0.207356
1.50	0.232088
1.60	0.256968
1.70	0.281739
1.80	0.306144
1.90	0.329926
2.00	0.352834
2.10	0.374624
2.20	0.395059
2.30	0.413915
2.40	0.430980
2.50	0.446059
2.60	0.458973
2.70	0.469562
2.80	0.477685
2.90	0.483227
3.00	0.486091
3.10	0.486207
3.20	0.483528
3.30	0.478032
3.40	0.469723
3.50	0.458629
3.60	0.444805
3.70	0.428330
3.80	0.409304
3.90	0.387855
4.00	0.364128
4.10	0.338292
4.20	0.310535
4.30	0.281059
4.40	0.250086
4.50	0.217849
4.60	0.184593
4.70	0.150573
4.80	0.116050
4.90	0.081292
5.00	0.046565
5.10	0.012140
5.20	-0.021718
5.30	-0.054748
5.40	-0.086695
5.50	-0.117315
5.60	-0.146375
5.70	-0.173656
5.80	-0.198954
5.90	-0.222082
6.00	-0.242873
6.10	-0.261182
6.20	-0.276882
6.30	-0.289871
6.40	-0.300072
6.50	-0.307430
6.60	-0.311916
6.70	-0.313525
6.80	-0.312278
6.90	-0.308219
7.00	-0.301417
7.10	-0.291966
7.20	-0.279980
7.30	-0.265595
7.40	-0.248968
7.50	-0.230273
7.60	-0.209703
7.70	-0.187465
7.80	-0.163778
7.90	-0.138873
8.00	-0.112992
8.10	-0.086380
8.20	-0.059289
8.30	-0.031973
8.40	-0.004684
8.50	0.022325
8.60	0.048808
8.70	0.074527
8.80	0.099251
8.90	0.122759
9.00	0.144847
9.10	0.165323
9.20	0.184011
9.30	0.200755
9.40	0.215417
9.50	0.227879
9.60	0.238046
9.70	0.245845
9.80	0.251223
9.90	0.254153
10.00	0.254630
