Iteration,Xl,Xu,Xr,Relative Apporximate Error
1,0,40,20,
2,0,20,10,3.531697
3,0,10,5,1.7975912
4,5,10,7.5,0.8907892
5,5,7.5,6.25,0.4473873
6,6.25,7.5,6.875,0.2231944
7,6.875,7.5,7.1875,0.1114728
8,7.1875,7.5,7.34375,0.0557053
9,7.34375,7.5,7.421875,0.0278449
10,7.421875,7.5,7.460938,0.0139205
11,7.460938,7.5,7.480469,0.0069598
12,7.460938,7.480469,7.470703,0.00348
13,7.460938,7.470703,7.46582,0.00174
14,7.460938,7.46582,7.463379,0.00087
15,7.463379,7.46582,7.4646,0.000435
16,7.4646,7.46582,7.46521,0.0002175
17,7.4646,7.46521,7.464905,0.0001088
18,7.464905,7.46521,7.465057,0.0000544
19,7.465057,7.46521,7.465134,0.0000272
20,7.465134,7.46521,7.465172,0.0000136
21,7.465172,7.46521,7.465191,0.0000068
22,7.465172,7.465191,7.465181,0.0000034
23,7.465181,7.465191,7.465186,0.0000017
24,7.465186,7.465191,7.465189,0.0000008
